RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,year
1,Cynthia Cooper,NA,28,35.1,22.2,6.8,14.5,47,2.4,5.8,41.4,6.1,7.1,86.4,4,4.7,2.1,0.2,3.9,0,0,1997
2,Ruthie Bolton,NA,23,35.3,19.4,7.1,17.7,40.2,2.9,8.3,34.4,2.3,3,76.8,5.8,2.6,2.3,0,2.5,2,0,1997
3,Lisa Leslie,NA,28,32.2,15.9,5.7,13.3,43.1,0.4,1.6,26.1,4,6.8,59.8,9.5,2.6,1.4,2.1,3.9,13,0,1997
4,Wendy Palmer,NA,28,33.4,15.8,5.6,15,37.4,0.4,1.7,25,4.2,6.2,67.6,8,1.7,1.7,0.2,2.5,8,0,1997
5,Jennifer GillomLOS,F,28,31.2,15.7,5.8,13.4,43.4,0.7,2.3,30.8,3.4,4.3,77.7,5.4,0.8,1.3,0.5,2.1,2,0,1997
6,Andrea Stinson,NA,28,36.1,15.7,6.3,14.1,44.7,0.9,2.8,32.5,2.1,3.2,67.4,5.5,4.4,1.5,0.8,3.5,2,0,1997
7,Sophia Witherspoon,NA,28,31,14.5,5,12.3,40.6,1.6,4.5,34.9,3,4,74.8,3,2.3,1.8,0.3,2.8,0,0,1997
8,Eva Nemcova,NA,28,33.7,13.7,4.9,10.4,47.3,1.3,3,43.5,2.5,3,85.5,3.9,2.4,1.4,0.3,2.8,0,0,1997
9,Tina ThompsonSEA,F,28,31.6,13.2,4.8,11.4,41.8,1.3,3.6,37,2.4,2.9,83.8,6.6,1.1,0.8,1,2.2,4,0,1997
10,Penny TolerLOS,G,28,32.4,13.1,5.1,12.1,42.6,0.3,1.4,18.4,2.6,3.1,83.9,3.4,5.1,1.3,0.1,3.8,1,0,1997
11,Bridgette Gordon,NA,28,35,13,4.8,11.1,43.3,0.4,1.4,27.5,3,3.8,78.5,4.8,2.8,1.4,0.3,3,0,0,1997
12,Vicky Bullett,NA,28,31.3,12.8,5.2,11.6,44.8,0.3,0.8,30.4,2.2,2.9,77.5,6.4,2.3,1.9,2,2.4,4,0,1997
13,Bridget Pettis,NA,28,30.1,12.6,3.8,11.5,33.3,1.5,4.8,30.6,3.5,3.9,89.8,3.8,2.8,1.8,0.4,2.9,0,0,1997
14,Rebecca Lobo,NA,28,33.5,12.4,4.8,12.6,37.6,0.6,2.3,28.6,2.3,3.8,61,7.3,1.9,0.9,1.8,3.1,4,0,1997
15,Elena Baranova,NA,28,32.6,12.2,4.6,11.8,39,1.4,3.8,37.7,1.5,2.2,69.4,7.4,2.2,1.5,2.3,2.9,5,0,1997
16,Michele Timms,NA,27,35.8,12.1,3.7,10.9,33.6,1.8,5.3,34.5,2.9,3.9,76,3.7,5.1,2.6,0.1,3,0,0,1997
17,Isabelle Fijalkowski,NA,28,28.7,11.9,4.5,8.8,50.8,0,0.1,25,2.9,3.7,78.6,5.6,2.4,0.6,0.6,2.6,2,0,1997
18,Tamecka Dixon,NA,27,26.5,11.9,4.3,9.3,45.6,0.8,1.9,42.3,2.5,3.3,77.3,3,2,1.8,0.2,2.1,0,0,1997
19,Rhonda Mapp,NA,28,25.4,11.6,4.3,8.7,49.2,0.1,0.3,50,2.9,3.8,77.4,5.5,2.3,0.8,0.4,2.4,0,0,1997
20,Janice Braxton,NA,25,32.9,11.5,3.5,8.4,41.7,0.2,0.4,50,4.2,5.5,76.8,7.6,2,1.4,1.1,2.1,4,0,1997
21,Janeth Arcain,NA,28,28,10.9,3.9,8.9,44,0.3,1.2,27.3,2.7,3,89.4,3.9,1.6,1.5,0.1,2.4,0,0,1997
22,Pamela McGee,NA,27,25.6,10.6,3.8,8.2,45.9,0.1,0.3,28.6,2.9,4.1,70.5,4.4,0.7,1,0.5,2.7,0,0,1997
23,Michelle Edwards,NA,20,31.1,10.2,3.8,8.5,44.7,0.3,1.3,23.1,2.3,4.3,52.3,3.5,4.5,1.7,0.2,3.9,0,0,1997
24,Kym Hampton,NA,28,23.7,9.7,3.5,7.5,47.1,0,0,0,2.6,4.1,64,5.8,1.4,1.4,0.7,1.8,2,0,1997
25,Vickie JohnsonLV,G,26,30.3,9.5,4.2,10.3,40.1,0.2,0.8,19,1,1.3,77.1,4.2,2.5,0.7,0.2,1.9,0,0,1997
26,Haixia Zheng,NA,28,19.9,9.3,3.9,6.4,61.8,0,0,0,1.4,2.1,66.1,4.4,0.6,0.4,0.7,1.6,0,0,1997
27,Toni Foster,NA,28,26.3,8.8,3.4,7.2,46.8,0,0.2,16.7,2,2.9,70.4,6.1,1,1.9,0.8,1.9,1,0,1997
