RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
1,A'ja WilsonLV,C,40,31.2,23.4,8.3,16.5,50.5,0.6,1.5,42.4,6.2,7.3,85.5,10.2,3.1,1.6,2.3,2.2,21,0
2,Napheesa CollierMIN,F,33,32.3,22.9,8.3,15.7,53.1,1.5,3.8,40.3,4.7,5.2,90.6,7.3,3.2,1.6,1.5,2.1,5,0
3,Kelsey MitchellIND,G,44,31.4,20.2,7.2,15.7,45.6,2.5,6.4,39.4,3.4,4.3,78.4,1.8,3.4,0.9,0.2,1.8,0,0
4,Kelsey PlumLA,G,43,35.1,19.5,6.1,14.4,42.2,2.3,6.5,35.5,5.1,5.7,89.3,3.1,5.7,1.2,0.1,3,2,0
5,Paige BueckersDAL,G,36,33.3,19.2,7.2,15.1,47.7,1.1,3.3,33.1,3.8,4.2,88.8,3.9,5.4,1.6,0.5,2,2,0
6,Dearica HambyLA,F,44,31.2,18.4,7.4,12.9,57.2,0.3,1.2,27.8,3.4,5.4,62.7,7.9,3.3,1.6,0.5,2.7,12,0
7,Allisha GrayATL,G,42,34.5,18.4,5.9,13,45.1,2.3,6.1,38.4,4.4,5.5,79.9,5.3,3.5,1.1,0.4,1.8,2,0
8,Breanna StewartNY,F,31,30.6,18.3,6.1,13.2,46.1,0.7,2.8,24.1,5.5,6.5,83.7,6.5,3.5,1.4,1.4,1.9,5,0
9,Nneka OgwumikeSEA,F,44,30.9,18.3,7.3,14,51.9,1.5,4.1,36.7,2.2,2.7,82.2,7,2.3,1.1,0.4,1.9,6,0
10,Sabrina IonescuNY,G,38,31.4,18.2,6.1,15.1,40.1,2.1,7.1,29.9,4,4.3,93.3,4.9,5.7,1.3,0.4,2.6,4,0
11,Rhyne HowardATL,G,33,34.9,17.5,5.7,15.1,37.5,3.1,9.6,32.2,3.1,3.6,85.6,4.5,4.6,1.5,0.8,1.7,0,0
12,Jackie YoungLV,G,44,30.4,16.5,5.9,12.4,47.5,1.8,5.1,35.9,2.9,3.2,89.4,4.5,5.1,1.3,0.4,2.2,3,2
13,Satou SaballyPHX,F,39,26.6,16.3,5.3,13.2,40.4,1.7,5.4,32.1,3.9,4.7,82.7,5.9,2.5,1.3,0.3,2,3,0
14,Tina CharlesCON,C,43,28.4,16.3,6,13.8,43.8,0.3,1.1,26.1,3.9,4.6,85.7,5.8,1.7,0.8,0.4,1.9,6,0
15,Skylar DigginsSEA,G,43,31.2,15.5,5.3,12.5,42.3,1.4,4,36.5,3.5,4.4,78.8,2.5,6,1.2,0.8,2.1,4,1
16,Alyssa ThomasPHX,F,39,31.3,15.4,6.2,11.6,53.2,0,0.2,0,3,4.3,69.2,8.8,9.2,1.6,0.4,3.5,22,8
17,Aliyah BostonIND,F,44,30.2,15,6.2,11.5,53.8,0.1,0.7,20.7,2.5,3.3,76.2,8.2,3.7,1.2,0.9,1.8,17,0
18,Sonia CitronWSH,G,44,32.2,14.9,5.1,10.8,47,1.8,4.1,44.5,3,3.4,87.2,4,2.4,1.3,0.4,2.1,3,0
19,Rickea JacksonLA,F,38,30.9,14.7,5.4,12.7,42.4,1.7,4.9,34.8,2.2,2.6,84.7,3.2,1.7,0.6,0.4,2.1,0,0
20,Marina MabreyCON,G,35,31.5,14.4,5.1,13.9,36.7,1.9,7,27,2.3,2.6,87,4.2,4,0.7,0.3,2.8,2,0
21,Kayla McBrideMIN,G,39,31.3,14.2,4.6,11,41.6,2.6,6.7,39.5,2.4,2.7,90.5,2.3,3.5,1.3,0.1,1.7,0,0
22,Brittney SykesSEA/WSH,G,39,30.6,14.1,4.5,11.7,38.1,0.8,2.6,30.4,4.4,5.6,78.1,3.2,4,1.2,0.4,2.5,0,0
23,Jonquel JonesNY,C,31,26.8,13.6,4.8,9.9,49,1.7,4,42.4,2.3,2.9,76.9,8.1,2.7,0.5,1.1,2.1,12,0
24,Courtney WilliamsMIN,G,44,28.6,13.6,5.6,13.2,42.8,1.3,3.4,38.9,1,1.2,84.9,4.9,6.2,1.3,0.3,2.3,3,0
25,Kamilla CardosoCHI,C,40,27.6,13.6,5.6,10.6,52.8,0,0.1,50,2.4,3.3,72.2,8.5,2.5,0.4,1.2,2.4,13,0
26,Kiki IriafenWSH,F,44,26.9,13.3,5,10.3,48.8,0,0.3,18.2,3.1,4,78.4,8.5,1.6,0.6,0.2,2.2,16,0
27,Ariel AtkinsCHI,G,34,28.6,13.1,4.8,10.7,44.4,1.3,3.5,36.1,2.4,2.7,86,3.4,3.6,1.6,0.7,2.5,0,0
28,Brionna JonesATL,F,44,26.6,12.8,5.1,9.7,52.7,0.3,1,26.1,2.3,3,77.3,7.3,2.2,1.1,0.8,1.5,12,0
29,Azura StevensLA,F,44,28.4,12.8,4.6,9.7,47.8,1.7,4.4,38.1,1.8,2.3,79,8,2.1,1.2,1.1,1.5,9,0
