Year,Player Name,Position,Team,College / Origin,Year Drafted,Draft Pick,Height,Weight,Minutes Per Game,Points Per Game,Rebounds Per Game,Assists Per Game,Blocks Per Game,Steals Per Game,Turnovers Per Game,FG%,3P%,FT%,Win Shares
1997,Adrienne Johnson,G,CLE,Ohio State,1999,8,5-10,154lb,7.8,2.1,0.9,0.4,0.0,0.2,1.1,0.379,0.5,0.778,-0.5
1997,Andrea Congreaves,F-C,CHA,Mercer University,1997,26,6-2,183lb,23.5,6.7,4.8,1.5,0.2,0.6,1.1,0.5,0.409,0.768,3.1
1997,Andrea Stinson,G,CHA,NC State,1997,,5-10,158lb,36.1,15.7,5.5,4.4,0.8,1.5,3.5,0.447,0.325,0.674,3.8
1997,Anita Maxwell,F,CLE,New Mexico State,1997,29,,,7.0,2.1,1.3,0.9,0.0,0.4,0.7,0.32,,0.375,-0.1
1997,Bridget Pettis,G,PHO,Florida,1997,7,5-9,,30.1,12.6,3.8,2.8,0.4,1.8,2.9,0.334,0.306,0.898,3.2
1997,Bridgette Gordon,F,SAC,Tennessee,1997,,6-0,172lb,35.0,13.0,4.8,2.8,0.3,1.4,3.0,0.433,0.275,0.785,1.9
1997,Cassandra Crumpton-Moorer,G,NYL,Alabama,,Undrafted,5-11,175lb,5.5,1.0,1.0,0.5,0.0,0.0,0.5,0.25,0.0,,0.0
1997,Catarina Pollini,F,HOU,Texas,1997,32,6-5,,7.2,1.7,0.9,0.4,0.1,0.3,0.6,0.364,,0.5,0.0
1997,Chantel Tremitiere,G,SAC,Auburn,1997,18,5-6,142lb,37.5,7.6,4.1,4.8,0.0,1.9,4.4,0.352,0.189,0.744,-1.1
1997,Corissa Yasen,G,SAC,Purdue,,Undrafted,6-0,160lb,9.9,2.7,1.1,0.3,0.1,0.9,0.8,0.404,0.0,0.5,-0.1
1997,Cynthia Cooper,G,HOU,USC,1997,,5-10,150lb,35.1,22.2,4.0,4.7,0.2,2.1,3.9,0.47,0.414,0.864,9.4
1997,Daedra Charles,F-C,LAS,Tennessee,1997,8,6-3,225lb,10.1,2.3,1.7,0.4,0.4,0.4,0.5,0.403,0.0,0.667,0.5
1997,Danielle Viglione,G,SAC,Texas,,Undrafted,5-10,157lb,4.3,1.0,0.6,0.1,0.0,0.1,0.0,0.273,0.25,,0.0
