RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG.,X3PM,X3PA,X3P.,FTM,FTA,FT.,REB,AST,STL,BLK,TO,DD2,TD3,year,team.abbr,overall_pick,team,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
1,Cynthia Cooper,NA,28,35.1,22.2,6.8,14.5,47,2.4,5.8,41.4,6.1,7.1,86.4,4,4.7,2.1,0.2,3.9,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ruthie Bolton,NA,23,35.3,19.4,7.1,17.7,40.2,2.9,8.3,34.4,2.3,3,76.8,5.8,2.6,2.3,0,2.5,2,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Lisa Leslie,NA,28,32.2,15.9,5.7,13.3,43.1,0.4,1.6,26.1,4,6.8,59.8,9.5,2.6,1.4,2.1,3.9,13,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Wendy Palmer,NA,28,33.4,15.8,5.6,15,37.4,0.4,1.7,25,4.2,6.2,67.6,8,1.7,1.7,0.2,2.5,8,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jennifer Gillom,F,28,31.2,15.7,5.8,13.4,43.4,0.7,2.3,30.8,3.4,4.3,77.7,5.4,0.8,1.3,0.5,2.1,2,0,1997,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Andrea Stinson,NA,28,36.1,15.7,6.3,14.1,44.7,0.9,2.8,32.5,2.1,3.2,67.4,5.5,4.4,1.5,0.8,3.5,2,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Sophia Witherspoon,NA,28,31,14.5,5,12.3,40.6,1.6,4.5,34.9,3,4,74.8,3,2.3,1.8,0.3,2.8,0,0,1997,NA,11,New York Liberty,,Florida,7,207,13.9,0.115,23.5,10.7,2.2,1.5
8,Eva Nemcova,NA,28,33.7,13.7,4.9,10.4,47.3,1.3,3,43.5,2.5,3,85.5,3.9,2.4,1.4,0.3,2.8,0,0,1997,NA,4,Cleveland Rockers,Bourges (France),,5,111,10.4,0.122,30.6,11.7,3.5,1.9
9,Tina Thompson,F,28,31.6,13.2,4.8,11.4,41.8,1.3,3.6,37,2.4,2.9,83.8,6.6,1.1,0.8,1,2.2,4,0,1997,SEA,1,Houston Comets,,USC,17,496,60.7,0.151,32.4,15.1,6.2,1.6
10,Penny Toler,G,28,32.4,13.1,5.1,12.1,42.6,0.3,1.4,18.4,2.6,3.1,83.9,3.4,5.1,1.3,0.1,3.8,1,0,1997,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
